"","Country","country_region_code","country_region","sub_region_1","sub_region_2","date.x","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Movement","Date","Province","DateLockDown","Type","Reference","Lock","Date_1confirmed","Date_1death","TotalCases","TotalDeaths","Google","DaysDuration","DaysLockDownStart","Days_LockDown_1case","Days_LockDown_1death","Democracy","Democraticness","Civil","Opression","Wave","Temperature","TemperatureBfr","TemperatureAftr","TemperatureDif","Humidity","HumidityBfr","HumidityAftr","HumidityDif","Country.Code.x","Indicator_GDP","GDP_pc","Indicator_unemployment","Unemployment","Indicator.Name.Communicable","Death_disease","Indicator.Name.Population1564","Age_1564","Indicator.Name.65up","Age_65up","log_GDP_pc","ï..Country.Name","Indicator.Name","Hospital_b1000","ElectionYear","ElectionWin","Country.Code.y","Country.Code","ROL","isocode","patience","risktaking","posrecip","negrecip","altruism","trust","Region","Population","Area_sq_mi","Pop_Density_sq_mi","Coastline","Net_migration","Infant_mortality_per_1000_births","GDP_pc_2","Literacy","Phones_per_1000","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","polity2","date.y","PDI","IDV","MAS","UAI","LTO","X","COL","Death_pc","Confirmed_pc","Log_Death_pc","Google_pc"
"96","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-18,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey","Yes",2020-03-20,2020-03-27,284,20,NA,11,56,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",91084,116,785.2,60.34,2.76,5.24,24800,NA,811.3,0,0,100,3,9.3,9.28,0.05,0.02,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000219577532826841,0.00311800096614114,-8.42380516309457,NA
"97","Jordan","JO","Jordan","","","2020-04-26",-55,-32,-46,-85,-58,23,-55.2,2020-04-26,"",2020-03-21,"Full","https://www.nytimes.com/aponline/2020/03/21/world/middleeast/ap-ml-virus-outbreak-mideast.html","Yes",2020-03-03,2020-03-29,449,8,0,8,59,26,0,8.292929293,6.691845494,2.139261745,6.78061674,6,14.4918032786885,12.5,16.6896551724138,4.18965517241379,67.5737704918033,69.46875,65.4827586206897,-3.98599137931035,"JOR","GDP per capita, PPP (constant 2011 international $)",8410.856072,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.71500015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.7,"Population ages 15-64 (% of total population)",61.90801939,"Population ages 65 and above (% of total population)",3.846490398,9.03727853993872,"Jordan","Hospital beds (per 1,000 people)",1.4,NA,NA,NA,"JOR",0.2337911,"JOR",-0.41847619,-0.12480165,0.28744587,-0.31515983,0.15912074,0.38980365,"NEAR EAST                          ",5906760,92300,64,0.03,6.59,17.35,4300,91.3,104.5,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68,-3,"01/12/2017",NA,NA,NA,NA,NA,NA,NA,1.3543804048243e-06,7.6014600220764e-05,-13.5121664740228,0
"98","Kazakhstan","KZ","Kazakhstan","","","2020-04-26",-64,-46,-33,-51,-34,12,-45.6,2020-04-26,"",2020-03-15,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan","Yes",2020-03-15,2020-03-30,3063,25,0,14,53,14,-1,8.647333333,6.841333333,2.346,7.902666667,6,-4.50819672131148,-6.3125,-2.51724137931034,3.79525862068966,86.3934426229508,91.59375,80.6551724137931,-10.9385775862069,"KAZ","GDP per capita, PPP (constant 2011 international $)",24738.36283,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.590000153,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.5,"Population ages 15-64 (% of total population)",64.14760395,"Population ages 65 and above (% of total population)",7.391846271,10.1161104687366,"Kazakhstan","Hospital beds (per 1,000 people)",6.7,2017,97.75,87,"KAZ",-0.4316052,"KAZ",-0.25865525,0.24510741,0.3076663,-0.20160872,0.17297222,0.15293807,"C.W. OF IND. STATES ",15233244,2717300,5.6,0,-3.35,29.21,6300,98.4,164.1,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547,-6,"01/07/2009",NA,NA,NA,NA,NA,NA,NA,1.64114747981454e-06,0.000201073389226878,-13.3201148779783,0
"99","Kenya","KE","Kenya","","","2020-04-26",-50,-39,-33,-47,-19,20,-37.6,2020-04-26,"",2020-03-15,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kenya","Yes",2020-03-14,2020-03-27,374,14,0,14,53,15,2,NA,NA,NA,NA,NA,24.7213114754098,24.09375,25.4137931034483,1.32004310344828,73.7868852459016,74.59375,72.8965517241379,-1.69719827586206,"KEN","GDP per capita, PPP (constant 2011 international $)",3076.844818,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.64199996,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.3,"Population ages 15-64 (% of total population)",57.87864645,"Population ages 65 and above (% of total population)",2.339186612,8.03165994116108,"Kenya","Hospital beds (per 1,000 people)",NA,2017,50.51,88,"KEN",-0.4110505,"KEN",-0.076222688,0.2439042,-0.31849501,-0.096054181,-0.31699398,-0.42230323,"SUB-SAHARAN AFRICA                 ",34707817,582650,59.6,0.09,-0.1,61.47,1000,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651,9,"26/07/2015",64,27,41,52,25,NA,73,4.03367345171838e-07,1.07756705067334e-05,-14.7234181637067,0
"100","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-25,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kosovo","Yes",2020-03-16,2020-03-23,790,22,0,4,63,13,6,NA,NA,NA,NA,NA,9.18032786885246,7.65625,10.8620689655172,3.20581896551724,74.655737704918,77.09375,71.9655172413793,-5.12823275862068,"XKX","GDP per capita, PPP (constant 2011 international $)",10069.6711,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",NA,"Population ages 65 and above (% of total population)",NA,9.21728332380881,"Kosovo","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"XKX",-0.3709781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Kuwait","KW","Kuwait","","","2020-04-26",-66,-45,-57,-58,-58,32,-56.8,2020-04-26,"",2020-03-16,"Partial","https://www.cosmopolitanme.com/travel/kuwait-shutdown-due-to-coronavirus","Yes",2020-02-24,2020-04-05,3440,23,0,13,54,34,-7,8.167854315,NA,1.819890368,7.013256007,6,22.4754098360656,19.6875,25.551724137931,5.86422413793104,38.4918032786885,40.125,36.6896551724138,-3.43534482758621,"KWT","GDP per capita, PPP (constant 2011 international $)",64683.72998,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.181999922,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.8,"Population ages 15-64 (% of total population)",75.91063957,"Population ages 65 and above (% of total population)",2.550472384,11.077264980241,"Kuwait","Hospital beds (per 1,000 people)",2.2,NA,NA,NA,"KWT",0.2107496,NA,NA,NA,NA,NA,NA,NA,"NEAR EAST                          ",2418393,17820,135.7,2.8,14.18,9.95,19000,83.5,211,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516,-7,NA,80,38,52,68,NA,NA,62,9.51044764023052e-06,0.00142243216879969,-11.5631196120384,0
"102","Kyrgyzstan","KG","Kyrgyzstan","","","2020-04-26",-72,-63,-33,-71,-39,13,-55.6,2020-04-26,"",2020-03-24,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kyrgyzstan","Yes",2020-03-19,2020-04-02,729,8,0,5,62,10,-4,7.891855808,5.966,2.103333333,6.369652406,6,-7.19672131147541,-9.375,-4.79310344827586,4.58189655172414,62.7377049180328,56.40625,69.7241379310345,13.3178879310345,"KGZ","GDP per capita, PPP (constant 2011 international $)",3446.99394,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.329999924,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.6,"Population ages 15-64 (% of total population)",63.15485491,"Population ages 65 and above (% of total population)",4.494727976,8.14525780846484,"Kyrgyz Republic","Hospital beds (per 1,000 people)",4.5,2017,63.2,89,"KGZ",-0.9076821,NA,NA,NA,NA,NA,NA,NA,"C.W. OF IND. STATES ",5213898,198500,26.3,0,-2.45,35.64,1600,97,84,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439,8,"15/10/2012",NA,NA,NA,NA,NA,NA,NA,1.53436066451626e-06,0.000139818615554044,-13.3873967688886,0
"103","Laos","LA","Laos","","","2020-04-26",-52,-35,-23,-64,-9,13,-36.6,2020-04-26,"",NA,"None","","No",2020-03-25,NA,19,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAO","GDP per capita, PPP (constant 2011 international $)",6601.332345,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.625999987,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",31.4,"Population ages 15-64 (% of total population)",63.32093135,"Population ages 65 and above (% of total population)",4.075149964,8.79502677809596,"Lao PDR","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"LAO",-0.8425543,NA,NA,NA,NA,NA,NA,NA,"ASIA (EX. NEAR EAST)         ",6368481,236800,26.9,0,0,85.22,1700,66.4,14.1,3.8,0.35,95.85,2,35.49,11.55,0.455,0.287,0.258,-7,"01/07/2005",NA,NA,NA,NA,NA,NA,NA,0,2.98344299056557e-06,NA,NA
"104","Latvia","LV","Latvia","","","2020-04-26",-32,-7,47,-31,-19,3,-8.4,2020-04-26,"",2020-03-13,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Latvia","Yes",2020-03-03,2020-04-04,836,13,0,16,51,26,-6,NA,NA,2.911939035,NA,3,4.78688524590164,4.5,5.10344827586207,0.603448275862069,78.0983606557377,79.375,76.6896551724138,-2.68534482758621,"LVA","GDP per capita, PPP (constant 2011 international $)",26219.30647,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.519999981,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.7,"Population ages 15-64 (% of total population)",63.96060274,"Population ages 65 and above (% of total population)",20.04362032,10.1742513065483,"Latvia","Hospital beds (per 1,000 people)",5.8,NA,NA,NA,"LVA",0.9569856,NA,NA,NA,NA,NA,NA,NA,"BALTICS                            ",2274735,64589,35.2,0.82,-2.23,9.55,10200,99.8,321.4,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699,8,"01/07/2011",NA,NA,NA,NA,NA,NA,NA,5.71495141192271e-06,0.000367515336951337,-12.0724247626044,0
"105","Lebanon","LB","Lebanon","","","2020-04-26",-71,-50,-50,-81,-35,15,-57.4,2020-04-26,"",2020-03-16,"Full","https://www.haaretz.com/middle-east-news/lebanon-goes-on-virus-lockdown-as-iraqis-go-panic-shopping-ahead-of-curfew-1.8679069","Yes",2020-02-22,2020-03-11,717,24,4,13,54,36,18,8.006756757,5.758943782,2.860068259,6.347294939,6,6.9672131147541,4.25,9.96551724137931,5.71551724137931,75,78.9375,70.6551724137931,-8.28232758620689,"LBN","GDP per capita, PPP (constant 2011 international $)",11607.17582,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.229000092,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.6,"Population ages 15-64 (% of total population)",66.9017647,"Population ages 65 and above (% of total population)",7.002368134,9.35937879100956,"Lebanon","Hospital beds (per 1,000 people)",2.9,NA,NA,NA,"LBN",-0.7644128,NA,NA,NA,NA,NA,NA,NA,"NEAR EAST                          ",3874050,10400,372.5,2.16,0,24.52,4800,87.4,255.6,16.62,13.98,69.4,NA,18.52,6.21,0.12,0.21,0.67,6,NA,80,38,52,68,NA,NA,62,6.19506717775971e-06,0.000185077631935571,-11.9917571990744,1.03251119629328e-06
"106","Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",2020-03-17,2020-04-05,141,16,0,0,NA,12,-7,NA,NA,NA,NA,NA,30.2622950819672,30.4375,30.0689655172414,-0.368534482758619,79.9016393442623,79.15625,80.7241379310345,1.56788793103448,"LBR","GDP per capita, PPP (constant 2011 international $)",1161.177916,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.813999891,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",58.5,"Population ages 15-64 (% of total population)",55.62158161,"Population ages 65 and above (% of total population)",3.2534318,7.05719021371265,"Liberia","Hospital beds (per 1,000 people)",NA,2017,43.93,95,"LBR",-0.9890524,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",3042004,111370,27.3,0.52,0,128.87,1000,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177,7,"13/05/2013",NA,NA,NA,NA,NA,NA,NA,5.25969065129434e-06,4.63510238645314e-05,-12.1554383444851,0
"107","Libya","LY","Libya","","","2020-04-26",-39,-18,-22,-46,-31,18,-31.2,2020-04-26,"",NA,"None","","No",2020-03-25,2020-04-03,61,2,NA,0,NA,4,-5,8.277559055,4.306203474,2.849519231,7.583463339,6,NA,NA,NA,NA,NA,NA,NA,NA,"LBY","GDP per capita, PPP (constant 2011 international $)",18424.53359,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18.56299973,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8,"Population ages 15-64 (% of total population)",67.28872201,"Population ages 65 and above (% of total population)",4.392040259,9.82143840276156,"Libya","Hospital beds (per 1,000 people)",3.7,NA,NA,NA,"LBY",-1.78583,NA,NA,NA,NA,NA,NA,NA,"NORTHERN AFRICA                    ",5900754,1759540,3.4,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,NA,26.49,3.48,0.076,0.499,0.425,0,NA,80,38,52,68,NA,NA,62,3.38939735498209e-07,1.03376619326954e-05,-14.8974435167609,NA
"108","Liechtenstein","LI","Liechtenstein","","","2020-04-26",NA,NA,NA,-41,NA,NA,-41,2020-04-26,"",2020-03-20,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Liechtenstein","Yes",2020-03-05,2020-04-05,83,1,0,9,58,24,-7,NA,NA,NA,NA,NA,5.88524590163934,5.375,6.44827586206897,1.07327586206897,79.0983606557377,75.5,83.0689655172414,7.56896551724138,"LIE","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",NA,"Population ages 65 and above (% of total population)",NA,NA,"Liechtenstein","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"LIE",1.678037,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",33987,160,212.4,0,4.85,4.7,25000,100,585.5,25,0,75,4,10.21,7.18,0.06,0.39,0.55,NA,"01/07/2010",NA,NA,NA,NA,NA,NA,NA,2.94230146820843e-05,0.002442110218613,-10.4337333775416,0
"109","Lithuania","LT","Lithuania","","","2020-04-26",-47,-20,56,-39,-17,4,-13.4,2020-04-26,"",2020-03-16,"Full","https://www.euractiv.com/section/coronavirus/short_news/lithuania-update-covid-19/","Yes",2020-02-28,2020-03-21,1449,44,0,13,54,30,8,NA,NA,2.941116751,NA,3,5.19672131147541,4.1875,6.31034482758621,2.12284482758621,79.2459016393443,81.65625,76.5862068965517,-5.07004310344827,"LTU","GDP per capita, PPP (constant 2011 international $)",31177.57805,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.352000237,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.6,"Population ages 15-64 (% of total population)",65.41254234,"Population ages 65 and above (% of total population)",19.70503316,10.3474544631997,"Lithuania","Hospital beds (per 1,000 people)",7.3,2017,46.64,100,"LTU",0.9573604,"LTU",-0.061742526,-0.045938365,-0.53168762,0.054207131,-0.72995752,-0.17750166,"BALTICS                            ",3585906,65200,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,NA,8.75,10.98,0.055,0.325,0.62,10,"01/07/2011",NA,NA,NA,NA,NA,NA,NA,1.22702602912625e-05,0.000404081980955441,-11.3083320858346,0
"110","Luxembourg","LU","Luxembourg","","","2020-04-26",-81,-75,20,-58,-45,12,-47.8,2020-04-26,"",2020-03-16,"Full","https://luxtimes.lu/luxembourg/40100-germany-border-checks-add-to-luxembourg-virus-lockdown","Yes",2020-03-01,2020-03-14,3741,89,2,13,54,28,15,NA,NA,NA,NA,NA,6.9344262295082,6.1875,7.75862068965517,1.57112068965517,85.7868852459016,85.28125,86.3448275862069,1.06357758620689,"LUX","GDP per capita, PPP (constant 2011 international $)",96792.59959,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.362999916,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.9,"Population ages 15-64 (% of total population)",69.93802183,"Population ages 65 and above (% of total population)",14.18315418,11.4803258198256,"Luxembourg","Hospital beds (per 1,000 people)",4.8,NA,NA,NA,"LUX",1.810886,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",474413,2586,183.5,0,8.97,4.81,55100,100,515.4,23.28,0.4,76.32,NA,11.94,8.41,0.01,0.13,0.86,10,"01/07/2011",NA,NA,NA,NA,NA,NA,NA,0.000187600255473606,0.00788553433400855,-8.58119715959347,4.21573607805857e-06
"111","Macedonia","MK","North Macedonia","","","2020-04-26",-93,-92,-76,-91,-71,23,-84.6,2020-04-26,"",2020-03-18,"Full","https://balkaninsight.com/2020/03/19/volunteers-help-north-macedonias-elderly-survive-lockdown/","Yes",2020-02-27,2020-03-23,1421,71,0,11,56,31,6,NA,NA,2.912045889,NA,4,10.655737704918,8.03125,13.551724137931,5.52047413793103,67.7213114754098,69.46875,65.7931034482759,-3.67564655172414,"MKD","GDP per capita, PPP (constant 2011 international $)",13483.45346,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.75900078,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.9,"Population ages 15-64 (% of total population)",69.81281899,"Population ages 65 and above (% of total population)",13.67018138,9.50921854304955,"North Macedonia","Hospital beds (per 1,000 people)",4.4,2017,51.69,108,"MKD",-0.2837728,NA,NA,NA,NA,NA,NA,NA,"EASTERN EUROPE                     ",2050554,25333,80.9,0,-1.45,10.09,6700,NA,260,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563,9,NA,NA,NA,NA,NA,NA,NA,NA,3.4624789203308e-05,0.00069298345715353,-10.2709406814664,0
"112","Madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-17,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Madagascar","Yes",2020-03-21,NA,128,0,NA,12,55,8,NA,NA,NA,NA,NA,NA,24.3770491803279,23.96875,24.8275862068966,0.858836206896552,83.8196721311475,83.3125,84.3793103448276,1.06681034482759,"MDG","GDP per capita, PPP (constant 2011 international $)",1678.213529,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.758000016,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",46.2,"Population ages 15-64 (% of total population)",56.34513228,"Population ages 65 and above (% of total population)",2.986717126,7.42548513101711,"Madagascar","Hospital beds (per 1,000 people)",NA,2017,15.85,105,"MDG",-0.8139714,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",18595469,587040,31.7,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559,6,"30/04/2011",NA,NA,NA,NA,NA,NA,NA,0,6.88339724047831e-06,NA,NA
"113","Malaysia","MY","Malaysia","","","2020-04-26",-83,-54,-68,-83,-49,31,-67.4,2020-04-26,"",2020-03-18,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malaysia","Yes",2020-01-25,2020-03-18,5851,100,2,11,56,64,11,8.609230769,7.172307692,2.306923077,7.484615385,6,30.672131147541,30.59375,30.7586206896552,0.164870689655171,90.016393442623,89.4375,90.6551724137931,1.21767241379311,"MYS","GDP per capita, PPP (constant 2011 international $)",28201.05584,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.323999882,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",17.5,"Population ages 15-64 (% of total population)",69.33310429,"Population ages 65 and above (% of total population)",6.671754625,10.2471146973601,"Malaysia","Hospital beds (per 1,000 people)",1.9,NA,NA,NA,"MYS",0.6233374,NA,NA,NA,NA,NA,NA,NA,"ASIA (EX. NEAR EAST)         ",24385858,329750,74,1.42,0,17.7,9000,88.7,179,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436,7,"01/07/2000",104,26,50,36,NA,NA,74,4.10073740280125e-06,0.000239934145437901,-12.4043437460841,8.20147480560249e-08
"114","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-11,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Maldives","Yes",2020-03-08,NA,245,0,0,18,49,21,NA,NA,NA,NA,NA,NA,28.2950819672131,28,28.6206896551724,0.620689655172413,74.9672131147541,77,72.7241379310345,-4.27586206896552,"MDV","GDP per capita, PPP (constant 2011 international $)",13582.90347,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.138000011,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8,"Population ages 15-64 (% of total population)",76.14873879,"Population ages 65 and above (% of total population)",3.703344606,9.51656718311977,"Maldives","Hospital beds (per 1,000 people)",NA,2017,29.4,106,"MDV",-0.5495973,NA,NA,NA,NA,NA,NA,NA,"ASIA (EX. NEAR EAST)         ",359008,300,1196.7,214.67,0,56.52,3900,97.2,90,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62,NA,"21/01/2017",NA,NA,NA,NA,NA,NA,NA,0,0.000682436045993404,NA,0
"115","Mali","ML","Mali","","","2020-04-26",-33,-28,-22,-47,5,14,-25,2020-04-26,"",2020-03-18,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mali","Yes",2020-03-26,2020-04-01,424,24,NA,11,56,3,-3,7.667374381,7.021551724,1.850526316,7.774169742,5,NA,NA,NA,NA,NA,NA,NA,NA,"MLI","GDP per capita, PPP (constant 2011 international $)",2055.622912,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.223999977,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",60.6,"Population ages 15-64 (% of total population)",49.94928385,"Population ages 65 and above (% of total population)",2.507229758,7.62833420119334,"Mali","Hospital beds (per 1,000 people)",NA,2017,39.79,109,"MLI",-0.7977482,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",11716829,1240000,9.5,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38,5,"27/09/2018",NA,NA,NA,NA,NA,NA,NA,2.04833577412455e-06,3.61872653428671e-05,-13.0984829120165,NA
"116","Malta","MT","Malta","","","2020-04-26",-68,-29,-24,-46,-42,16,-41.8,2020-04-26,"",2020-03-12,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malta","Yes",2020-03-08,2020-04-09,450,4,0,17,50,21,-11,NA,NA,NA,NA,NA,15.6065573770492,15.46875,15.7586206896552,0.289870689655173,73.2622950819672,72.5625,74.0344827586207,1.47198275862068,"MLT","GDP per capita, PPP (constant 2011 international $)",38388.05641,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.47300005,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.4,"Population ages 15-64 (% of total population)",65.37377518,"Population ages 65 and above (% of total population)",20.3493243,10.5555016592061,"Malta","Hospital beds (per 1,000 people)",4.8,NA,NA,NA,"MLT",1.053974,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",400214,316,1266.5,62.28,2.07,3.89,17700,92.8,505,28.13,3.13,68.74,NA,10.22,8.1,0.03,0.23,0.74,NA,"01/07/2011",NA,NA,NA,NA,NA,NA,NA,9.99465286071952e-06,0.00112439844683095,-11.5134603219088,0
"117","Martinique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-20,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Martinique","Yes",NA,NA,NA,NA,NA,9,58,NA,NA,NA,NA,NA,NA,NA,26.5409836065574,26.375,26.7241379310345,0.349137931034484,75.5409836065574,76.53125,74.448275862069,-2.08297413793103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MTQ",0.8764146,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",436131,1100,396.5,31.82,-0.05,7.09,14400,97.7,394.4,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83,NA,"01/07/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",2020-03-15,2020-04-03,7,1,0,0,NA,14,-5,NA,NA,NA,NA,NA,29.7049180327869,27.4375,32.2068965517241,4.76939655172414,15.7704918032787,17.71875,13.6206896551724,-4.09806034482759,"MRT","GDP per capita, PPP (constant 2011 international $)",3683.24957,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.548000336,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.4,"Population ages 15-64 (% of total population)",56.77570502,"Population ages 65 and above (% of total population)",3.141112158,8.21155067684273,"Mauritania","Hospital beds (per 1,000 people)",NA,2017,81.94,114,"MRT",-0.6859449,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",3177388,1030700,3.1,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46,-2,NA,NA,NA,NA,NA,NA,NA,NA,3.14723917884753e-07,2.20306742519327e-06,-14.9715700335882,0
